axisX,axisY,axisZ
0.508963,0.846432,-4.595774
0.508215,0.8466,-4.598334
0.512285,0.841951,-4.603616
0.517567,0.835069,-4.614233
0.52993,0.821306,-4.626724
0.551807,0.819004,-4.629448
0.569373,0.813321,-4.625286
0.578365,0.811063,-4.616864
0.695894,0.861358,-4.55144
0.710217,0.864617,-4.554036
0.719954,0.865484,-4.567722
0.721925,0.866228,-4.580186
0.734458,0.866301,-4.587102
0.745942,0.865249,-4.595816
0.761105,0.862483,-4.602033
0.776931,0.859798,-4.612592
0.784634,0.859104,-4.630052
0.794996,0.858231,-4.654781
0.802711,0.85783,-4.678191
0.811044,0.857511,-4.705778
0.821876,0.856437,-4.728372
0.841319,0.853692,-4.752832
0.866409,0.847595,-4.774606
0.899415,0.828108,-4.810656
0.928909,0.810444,-4.838411
0.950118,0.790981,-4.864905
0.958292,0.781278,-4.877945
0.966534,0.77093,-4.881002
0.973694,0.753915,-4.889868
0.935759,0.687481,-4.955683
0.952942,0.671251,-4.959369
0.9572,0.644638,-4.982783
0.936584,0.596641,-5.025748
0.947952,0.58737,-5.033196
0.955984,0.580854,-5.034662
0.961725,0.57558,-5.031786
0.957298,0.540502,-5.045002
0.8245,0.360365,-5.201978
0.927139,0.40729,-5.101588
0.945909,0.373922,-5.089502
1.000134,0.380113,-5.032671
1.002658,0.354649,-5.023803
0.949189,0.248199,-5.075995
0.943885,0.219092,-5.076394
0.93005,0.191081,-5.086467
0.924429,0.178266,-5.0913
0.928547,0.185771,-5.088732
0.93301,0.193535,-5.08614
0.938892,0.204892,-5.082142
0.945781,0.219741,-5.076661
0.949437,0.235965,-5.070565
0.949061,0.244574,-5.067032
0.948444,0.256265,-5.064072
1.002649,0.340405,-5.000011
1.002764,0.353624,-4.999357
1.00279,0.36071,-5.009861
1.002759,0.359905,-5.016682
1.002742,0.361185,-5.019028
1.002766,0.362484,-5.017345
1.002819,0.364871,-5.011893
1.002812,0.365055,-5.009675
1.001852,0.375301,-5.006427
0.989317,0.38258,-5.011368
0.954005,0.391447,-5.023469
0.939812,0.424022,-4.999924
0.8245,0.396061,-5.034323
0.956977,0.601848,-4.818281
0.972941,0.709462,-4.682884
0.953464,0.766554,-4.601274
0.900575,0.811337,-4.5272
0.849594,0.836474,-4.482177
0.782843,0.850478,-4.449713
0.612739,0.816909,-4.444879
0.560488,0.840411,-4.390824
0.531755,0.885541,-4.305838
0.550364,0.923392,-4.237301
0.545503,0.946146,-4.190844
0.541859,0.954769,-4.171207
0.540718,0.957446,-4.163418
0.539657,0.959993,-4.160287
0.535061,0.971089,-4.152108
0.530321,0.982581,-4.147379
0.523762,0.998605,-4.149683
0.51631,1.015826,-4.151799
0.499297,1.033283,-4.156796
0.488192,1.044586,-4.158479
0.465682,1.060298,-4.162657
0.438965,1.070262,-4.171917
0.398559,1.078904,-4.18463
0.36778,1.078897,-4.191696
0.350079,1.078779,-4.188773
0.299857,1.064935,-4.183888
0.281281,1.065545,-4.16857
0.256643,1.066331,-4.151432
0.243976,1.066728,-4.143766
0.244299,1.0667,-4.146483
0.264549,1.066133,-4.149098
0.280858,1.065568,-4.166872
0.294568,1.065038,-4.189879
0.346446,1.079242,-4.217105
-0.069473,0.929999,-4.379642
-0.05888,0.919742,-4.437977
-0.043098,0.904966,-4.475405
-0.039378,0.892569,-4.529156
-0.033303,0.879605,-4.566392
-0.034357,0.873288,-4.619398
-0.03245,0.865566,-4.656441
-0.036212,0.863387,-4.70423
-0.03473,0.857507,-4.732181
-0.03246,0.850684,-4.759827
-0.028475,0.843369,-4.780195
0.18518,0.916887,-4.705041
0.202413,0.918481,-4.722609
-0.01984,0.821567,-4.874427
-0.003648,0.814691,-4.91573
0.1029,0.848332,-4.898551
0.165859,0.853125,-4.904899
0.217693,0.859064,-4.900555
0.244949,0.854551,-4.913983
0.360255,0.88738,-4.857069
0.382583,0.880865,-4.859257
0.408206,0.874461,-4.857991
0.419905,0.864758,-4.873551
0.436891,0.854686,-4.870817
0.449138,0.84548,-4.857264
0.464726,0.834698,-4.837411
0.498867,0.812226,-4.811447
0.540288,0.807945,-4.774944
0.546623,0.80842,-4.749067
0.54903,0.810886,-4.717162
0.536073,0.816867,-4.669818
0.522554,0.826656,-4.633644
0.516216,0.841246,-4.589261
0.5095,0.85707,-4.53866
0.503801,0.879421,-4.483269
0.500404,0.891368,-4.45911
0.497179,0.90098,-4.442452
0.493917,0.913387,-4.415869
0.494607,0.918488,-4.393477
0.495379,0.927265,-4.357296
0.497659,0.93142,-4.329364
0.49686,0.939925,-4.306004
0.497078,0.942952,-4.298018
0.497797,0.945313,-4.289661
0.500486,0.947566,-4.282478
0.511072,0.960184,-4.266482
0.520359,0.967904,-4.251485
0.53043,0.983417,-4.229734
0.526726,0.992306,-4.21909
0.518324,1.012701,-4.212286
0.508375,1.024806,-4.216861
0.496111,1.037523,-4.230249
0.491887,1.03779,-4.237106
0.483086,1.039123,-4.245275
0.477825,1.039989,-4.250084
0.470236,1.046212,-4.251765
0.466024,1.048809,-4.253603
0.450161,1.046481,-4.265837
0.192345,0.945612,-4.36283
0.231677,0.949736,-4.372397
0.346461,0.977329,-4.364924
0.359977,0.973914,-4.389817
0.3717,0.971054,-4.429183
0.36802,0.965724,-4.463682
0.359312,0.958085,-4.505909
0.348681,0.95232,-4.545344
0.348095,0.945162,-4.580649
0.346039,0.941589,-4.606744
0.339869,0.942802,-4.630881
0.331893,0.946565,-4.64359
0.198948,0.919228,-4.70748
-0.03876,0.854217,-4.818645
-0.067269,0.858178,-4.830164
-0.065235,0.857361,-4.834724
-0.036408,0.849917,-4.833883
0.225597,0.922759,-4.723054
0.332202,0.936323,-4.697114
0.383787,0.925025,-4.690568
0.408107,0.918017,-4.691745
0.423689,0.915406,-4.683272
0.445456,0.911209,-4.652414
0.453895,0.906139,-4.636056
0.464898,0.895461,-4.626287
0.472603,0.887959,-4.619535
0.48196,0.87945,-4.6064
0.490451,0.873563,-4.579837
0.49324,0.875323,-4.557721
0.487082,0.888318,-4.545348
0.485583,0.891794,-4.541201
0.490863,0.886287,-4.531374
0.499063,0.879891,-4.508297
0.506128,0.883087,-4.456842
0.504806,0.895506,-4.419268
0.502358,0.915375,-4.361031
0.499961,0.936852,-4.301239
0.534341,0.973507,-4.201733
0.532843,0.976572,-4.157814
0.533317,0.975099,-4.12852
0.533746,0.974303,-4.118747
0.534202,0.973162,-4.121481
0.536323,0.968052,-4.125525
0.53854,0.962567,-4.136215
0.543952,0.949428,-4.153414
0.54606,0.944363,-4.158984
0.544292,0.948599,-4.15331
0.540536,0.957861,-4.13538
0.53524,0.97109,-4.104278
0.497438,1.010612,-3.973278
0.495593,1.018446,-3.949703
0.324431,0.955097,-3.945435
0.255203,0.934964,-3.921213
-0.132385,0.784868,-3.91668
-0.132892,0.785786,-3.888273
-0.396304,0.680787,-3.873929
-0.442523,0.658562,-3.859559
-0.463427,0.646396,-3.846053
-0.479529,0.644262,-3.836086
-0.831091,0.263641,-3.213718
-0.835617,0.258297,-3.030182
-0.277791,0.67211,-3.157187
-0.27797,0.686994,-3.155788
-0.278243,0.707343,-3.16062
-0.204089,0.756081,-3.190104
-0.206288,0.76865,-3.200885
-0.298681,0.742868,-3.209625
-0.341529,0.723368,-3.218793
-0.423861,0.704418,-3.210222
-0.362031,0.727358,-3.215944
-0.326945,0.735127,-3.215862
-0.309503,0.742253,-3.210976
-0.281373,0.742603,-3.209362
-0.280116,0.741807,-3.21061
-0.276949,0.738568,-3.21493
-0.278093,0.738761,-3.214886
-0.277282,0.740112,-3.213263
-0.287538,0.740575,-3.212921
-0.290076,0.741281,-3.21187
-0.295061,0.741153,-3.212281
-0.28898,0.740775,-3.212652
-0.294805,0.741365,-3.211923
-0.301495,0.742546,-3.210265
-0.31288,0.744567,-3.207063
-0.327518,0.746514,-3.203297
-0.323583,0.746933,-3.202771
-0.336895,0.738389,-3.193389
-0.300501,0.743124,-3.197428
-0.222237,0.767613,-3.210813
-0.212599,0.764532,-3.207392
-0.208506,0.765377,-3.204441
-0.207059,0.764915,-3.203927
-0.206366,0.768528,-3.201015
-0.208177,0.77438,-3.197991
-0.206692,0.777694,-3.194829
-0.209109,0.775889,-3.190598
-0.221116,0.781952,-3.185723
-0.233828,0.787341,-3.180371
-0.229524,0.798468,-3.184571
-0.231041,0.804697,-3.184963
-0.235239,0.802454,-3.182533
-0.226511,0.803774,-3.187054
-0.224,0.801675,-3.187921
-0.224032,0.799123,-3.189942
-0.230413,0.799766,-3.193178
-0.235266,0.7969,-3.19797
-0.233527,0.783635,-3.206188
-0.285983,0.743882,-3.198491
-0.267395,0.746811,-3.201722
-0.254284,0.745116,-3.202604
-0.209361,0.747454,-3.21339
-0.201323,0.730672,-3.21435
-0.194383,0.710456,-3.216962
-0.194962,0.703025,-3.21788
-0.196286,0.6978,-3.21911
-0.200097,0.697099,-3.221585
-0.205167,0.701119,-3.224513
-0.228775,0.692207,-3.221371
-0.236104,0.689768,-3.22377
-0.241105,0.678953,-3.228322
-0.240902,0.664715,-3.232813
-0.255606,0.652645,-3.235513
-0.262489,0.647525,-3.235406
-0.283505,0.640713,-3.235264
-0.306558,0.635663,-3.235158
-0.316815,0.638831,-3.235224
-0.32263,0.642818,-3.235308
-0.327833,0.643031,-3.235312
-0.325851,0.641779,-3.235286
-0.334148,0.635112,-3.235147
-0.321391,0.63929,-3.235234
-0.293764,0.644932,-3.235352
-0.272608,0.655902,-3.235581
-0.263858,0.660307,-3.234719
-0.252106,0.660603,-3.234645
-0.247627,0.668377,-3.232676
-0.236668,0.67209,-3.229527
-0.228501,0.67588,-3.226511
-0.206568,0.682757,-3.226764
-0.199339,0.684482,-3.222038
-0.191332,0.6905,-3.2165
-0.186401,0.695291,-3.21301
-0.196948,0.693901,-3.203421
-0.277884,0.667017,-3.162632
-0.277829,0.672807,-3.158057
-0.277826,0.676041,-3.156413
-0.277834,0.677912,-3.155776
-0.277794,0.679831,-3.15353
-0.277793,0.682037,-3.152442
-0.277694,0.684635,-3.148
-0.277603,0.686595,-3.144089
-0.277448,0.686173,-3.139296
-0.277362,0.685511,-3.136837
-0.277267,0.681694,-3.135596
-0.277049,0.6743,-3.132101
-0.276871,0.672186,-3.127378
-0.276569,0.665878,-3.120646
-0.276375,0.662787,-3.115839
-0.275268,0.655826,-3.106719
-0.256977,0.660139,-3.097376
-0.247896,0.654508,-3.082322
-0.243026,0.648705,-3.065289
-0.21224,0.655268,-3.051752
0.64071,1.020082,-3.339339
0.649119,1.020741,-3.328395
0.653359,1.017464,-3.319767
0.657046,1.012703,-3.310615
0.660478,1.010809,-3.304285
0.662441,1.006757,-3.298105
0.664512,1.002937,-3.291978
0.667491,0.999955,-3.285175
0.668904,0.996486,-3.280405
0.669066,0.991327,-3.275737
0.667812,0.98335,-3.27058
0.668578,0.97928,-3.266024
0.667578,0.973543,-3.262448
0.112707,0.702442,-3.029038
0.11756,0.701804,-3.02761
0.122998,0.698856,-3.028936
0.128263,0.696691,-3.029316
0.134243,0.693432,-3.030796
0.143756,0.688601,-3.032689
0.152495,0.684633,-3.033954
0.163039,0.683479,-3.035922
0.177332,0.682226,-3.038096
0.186325,0.683674,-3.035923
0.199348,0.683957,-3.03565
0.216332,0.684009,-3.035795
0.23608,0.685405,-3.033849
0.254434,0.689922,-3.026945
0.263801,0.692877,-3.022393
0.27726,0.692383,-3.023353
0.284363,0.694026,-3.02093
0.293499,0.695135,-3.019411
0.301823,0.69759,-3.015858
0.308076,0.698285,-3.013353
0.318841,0.698748,-3.011871
0.325764,0.699255,-3.010089
0.340209,0.698953,-3.011768
0.348747,0.699011,-3.01182
0.361802,0.699299,-3.01111
0.375121,0.699836,-3.009419
0.389085,0.700136,-3.008694
0.401199,0.700632,-3.007126
0.790181,0.915651,-3.196365
0.791114,0.915432,-3.194247
0.809597,0.921877,-3.20008
0.803004,0.918225,-3.192003
0.787521,0.910869,-3.178439
0.428595,0.705666,-2.988065
0.425462,0.706749,-2.983638
0.421847,0.708011,-2.978471
0.419368,0.710076,-2.973087
0.417124,0.713749,-2.965518
0.717758,0.88778,-3.119841
0.720942,0.894327,-3.117398
0.719907,0.900724,-3.115355
0.713138,0.911763,-3.10869
0.709051,0.918053,-3.103783
0.688225,0.921739,-3.092159
0.670191,0.924054,-3.084643
0.655281,0.926819,-3.079971
0.646833,0.928622,-3.077788
0.626828,0.930595,-3.070615
0.617119,0.930852,-3.068034
0.607549,0.932137,-3.067559
0.605488,0.934512,-3.071661
0.602875,0.937102,-3.076021
0.603262,0.940309,-3.082573
0.603989,0.944361,-3.090928
0.604823,0.948077,-3.098643
0.602928,0.951739,-3.10538
0.606824,0.954603,-3.112363
0.59761,0.956218,-3.112663
0.595953,0.959708,-3.119131
0.594325,0.962726,-3.124662
0.584706,0.966385,-3.12893
0.568578,0.969551,-3.130134
0.554892,0.978197,-3.143104
0.54337,0.984055,-3.151173
0.529756,0.989542,-3.157832
0.511843,0.992897,-3.158845
0.499178,0.997925,-3.164508
0.496566,1.002827,-3.173641
0.502808,1.010034,-3.190318
0.505098,1.014661,-3.200325
0.502947,1.020118,-3.210578
0.495188,1.023602,-3.215088
0.483483,1.028937,-3.222051
0.47651,1.033843,-3.229167
0.473547,1.040846,-3.242713
0.475202,1.048472,-3.258572
0.469659,1.054768,-3.269425
0.458368,1.06047,-3.27624
0.447478,1.065124,-3.280092
0.428327,1.067557,-3.279926
0.422171,1.071331,-3.287022
0.419182,1.075325,-3.295307
0.403505,1.076563,-3.294635
0.384887,1.074841,-3.286685
0.351636,1.071798,-3.272561
0.314153,1.067419,-3.254518
0.304103,1.064305,-3.245335
0.304926,1.062211,-3.240828
0.319479,1.062933,-3.245643
0.35855,1.067916,-3.265389
0.388816,1.073278,-3.284049
0.424265,1.080911,-3.308933
0.450848,1.086164,-3.325175
0.497553,1.094826,-3.353673
0.490147,1.083786,-3.370808
-0.185608,0.84225,-3.950289
0.02725,0.925148,-4.096422
0.42875,1.073471,-4.138173
-0.059479,0.907291,-4.529591
-0.181919,0.865979,-4.852138
-0.466914,0.761061,-5.495757
-0.078516,0.874911,-5.6014
-1.154178,0,-10.94678
-0.945198,0,-10.74484
-0.849616,0,-10.65736
-0.803541,0,-10.61979
-0.794432,0,-10.58253
-0.833375,0,-10.52982
-0.909199,0,-10.54051
-1.002333,0,-10.48064
